SET_ID,RDKIT_SMILES,pIC50,Patent Number,Authors,Date of publication,Institution,Assay Protocol
296450,COc1ccc(CN2C3CC2CN(c2cnc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1,5.509058795,US10112942,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Tang, TP; Ren, L",10/30/2018,Array BioPharma Inc,
296778,CCOc1cc(-c2ccc(N3CCC4(CC3)CN4C(=O)c3ccc(F)cc3)nc2)c2c(C#N)cnn2c1,5.521577812,US10112942,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Tang, TP; Ren, L",10/30/2018,Array BioPharma Inc,
305544,CCOc1cc(-c2ccc(N3CCC(N)(COCCN4CCOCC4)CC3)nc2)c2c(C#N)cnn2c1,5.525055665,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
305350,CCOc1cc(-c2ccc(N3CCC(N)C3)nc2)c2c(C#N)cnn2c1,5.542723814,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
296789,CCOc1cc(-c2ccc(N3CCC4(CCCN(C(C)=O)C4)C3)nc2)c2c(C#N)cnn2c1,5.555955204,US10112942,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Tang, TP; Ren, L",10/30/2018,Array BioPharma Inc,
305462,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(N)CC3)nc2)c2c(C#N)cnn2c1,5.556111453,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
305522,CCOc1cc(-c2ccc(N3CCC(C)(N=C(O)C4CCN4C(=O)OC(C)(C)C)CC3)nc2)c2c(C#N)cnn2c1,5.566070234,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
305517,CCOc1cc(-c2ccc(N3CCC(C)(N=C(O)C4(N=C(O)OC(C)(C)C)CCCC4)CC3)nc2)c2c(C#N)cnn2c1,5.571217489,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
305734,Cc1cnc(CC2(O)CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)cn1,5.574302787,US10441581,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Collier, J; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Ramann, GA; Tang, TP; Ren, L; Walls, SM",10/15/2019,Array Biopharma Inc.,
296770,CCOc1cc(-c2ccc(N3CC4CC3CN4C(=O)OC(C)(C)C)nc2)c2c(C#N)cnn2c1,5.574791949,US10112942,"Andrews, SW; Aronow, S; Blake, JF; Brandhuber, BJ; Cook, A; Haas, J; Jiang, Y; Kolakowski, GR; McFaddin, EA; McKenney, ML; McNulty, OT; Metcalf, AT; Moreno, DA; Tang, TP; Ren, L",10/30/2018,Array BioPharma Inc,
